,,"Number of commercial bank branches per 1,000 km2","Number of credit union and credit cooperative branches per 1,000 km2","Number of all microfinance institution branches per 1,000 km2","Number of commercial bank branches per 100,000 adults","Number of credit union and credit cooperative branches per 100,000 adults","Number of all microfinance institution branches per 100,000 adults","Number of ATMs per 1,000 km2","Number of ATMs per 100,000 adults","Mobile money agent outlets: active per 100,000 adults","Mobile money agent outlets: active per 1,000 km2","Number of registered mobile money agent outlets per 100,000 adults","Number of registered mobile money agent outlets per 1,000 km2","Number of non-branch retail agent outlets of commercial banks per 1,000 km2","Number of non-branch retail agent outlets of commercial banks per 100,000 adults","Number of insurance corporations per 100,000 adults","Branches of other deposit takers per 1,000 km2","Branches of other deposit takers per 100,000 adults","Number of depositors with commercial banks per 1,000 adults",Number of small and medium enterprise (SME) depositors with commercial banks (% of non-financial corporation depositors with commercial banks),"Number of household sector depositors with commercial banks per 1,000 adults","Number of male depositors of the household sector with commercial banks per 1,000 male adults","Number of female depositors of the household sector with commercial banks per 1,000 female adults","Number of depositors with credit unions and credit cooperatives per 1,000 adults","Number of deposit accounts with commercial banks per 1,000 adults",Number of small and medium enterprise (SME) deposit accounts with commercial banks (% of non-financial corporation deposit accounts with commercial banks),"Number of household sector deposit accounts with commercial banks per 1,000 adults","Number of men-owned deposit accounts of the household sector with commercial banks per 1,000 male adults","Number of women-owned deposit accounts of the household sector with commercial banks per 1,000 female adults","Number of deposit accounts with credit unions and credit cooperatives per 1,000 adults","Number of borrowers from commercial banks per 1,000 adults",Number of small and medium enterprise (SME) borrowers from commercial banks (% of non-financial corporation borrowers from commercial banks),"Number of household sector borrowers from commercial banks per 1,000 adults","Number of male borrowers of the household sector from commercial banks per 1,000 male adults","Number of female borrowers of the household sector from commercial banks per 1,000 female adults","Number of borrowers from credit unions and credit cooperatives per 1,000 adults","Number of borrowers from all microfinance institutions per 1,000 adults","Number of male borrowers of the household sector from all microfinance institutions per 1,000 male adults","Number of female borrowers of  the household sector from all microfinance institutions per female 1,000 adults","Number of loan accounts with commercial banks per 1,000 adults",Number of small and medium enterprise (SME) loan accounts with commercial banks (% of non-financial corporation loan accounts with commercial banks),"Number of household sector loan accounts with commercial banks per 1,000 adults","Number of men-owned loan accounts of the household sector with commercial banks per 1,000 male adults","Number of women-owned loan accounts of the household sector with commercial banks per 1,000 female adults","Number of loan accounts with credit unions and credit cooperatives per 1,000 adults","Number of loan accounts with all microfinance institutions per 1,000 adults","Number of men-owned loan accounts of the household sector with all microfinance institutions per 1,000 male adults","Number of women-owned loan accounts of the household sector with all microfinance institutions per 1,000 female adults",Outstanding deposits with commercial banks (% of GDP),Outstanding small and medium enterprise (SME) deposits with commercial banks (% of GDP),Outstanding deposits of household sector with commercial banks (% of GDP),Outstanding deposits with credit unions and credit cooperatives (% of GDP),Outstanding loans from commercial banks (% of GDP),Outstanding small and medium enterprise (SME) loans from commercial banks (% of GDP),Outstanding loans from commercial banks to household sector (% of GDP),Outstanding loans from credit unions and credit cooperatives (% of GDP),Outstanding loans from all microfinance institutions (% of GDP),"Number of registered mobile money accounts per 1,000 adults","Number of active mobile money accounts per 1,000 adults",Outstanding balances on active mobile money accounts (% of GDP),"Number of mobile money transactions (during the reference year) per 1,000 adults",Value of mobile money transactions (during the reference year) (% of GDP),"Number of credit cards per 1,000 adults","Number of debit cards per 1,000 adults","Number of mobile and internet banking transactions (during the reference year) per 1,000 adults",Value of mobile and internet banking transactions (during the reference year) (% of GDP),"Number of life insurance policies per 1,000 adults",Policies with insurance corporations: o/w non-life insurance,Average number of mobile money transactions per active mobile money account
,2017,19.04,,,23.14,,,52.44,63.74,,,55.45,45.63,,,0.3,7.2,8.75,,,,,,,"1,583.94",,"1,520.85",,,,,,,,,,,,,385.45,,375.85,,,,,,,35.85,,24.6,,44.05,,16.07,,,183.7,31.16,0.01,"1,984.42",0.38,91.38,640.62,,,,"693,708.00",63.69
,2018,19.42,,,23.6,,,52.76,64.11,,,172.06,141.59,,,0.3,7.41,9.01,,,,,,,"1,762.98",,"1,694.73",,,,,,,,,,,,,443.92,,433,,,,,,,35.07,,24.67,,47.41,,19.17,,,263.04,83.58,0.02,"3,672.72",0.78,99.36,764.62,,,,"826,916.00",43.94
,2019,19.95,,,24.24,,,53.95,65.54,,,231.28,190.38,,,0.3,8.18,9.94,,,,,,,"2,008.90",,"1,929.00",,,,,,,,,,,,,522.5,,509.39,,,,,,,35.71,,25.66,,50.57,,23.12,,,428.07,184.4,0.02,"6,064.59",1.23,102.09,917.9,,,,"976,156.00",32.89
Aruba,2010,,,,,,,,,,,,,,,29.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.64,,,,62.08,,35.32,,,,,,,,,,,,,,
,2011,94.44,,,20.96,,,500,110.98,,,,,,,27.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.12,,,,60.05,,34.12,,,,,,,,,,,,,,
,2012,100,,,21.96,,,544.44,119.58,,,,,,,28.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.03,,,,62.61,,34.99,,,,,,,,,,,,,,
,2013,88.89,,,19.29,,,572.22,124.18,,,,,,,28.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.66,,,,62.37,,34.52,,,,,,,,,,,,,,
,2014,88.89,,,19.06,,,550,117.94,,,,,,,27.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.87,,,,63.2,,35.12,,,,,,,,,,,,,,
,2015,88.89,,,18.86,,,561.11,119.07,,,,,,,25.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.67,,,,59.95,,34.38,,,,,,,,482.3,,,,,,
,2016,94.44,,,19.83,,,600,125.98,,,,,,,25.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.42,,,,59.02,,34.16,,,,,,,,513.11,,,,,,
,2017,88.89,,,18.51,,,600,124.97,,,,,,,25.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.59,,,,59.04,,34.17,,,,,,,,547.29,,,,,,
,2018,83.33,,,17.24,,,611.11,126.43,,,,,,,25.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.18,,,,60.68,,35.44,,,,,,,,476.01,,,,,,
,2019,72.22,,,14.84,,,616.67,126.74,,,,,,,23.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.99,,,,60.81,,36.34,,,,,,,,468.26,,,,,,
Australia,2010,0.71,0.17,,30.75,7.15,,3.92,168.69,,,,,,,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.95,,36.9,4.23,118.01,,84.52,4.46,,,,,,,"1,207.45","2,050.55",,,,,
,2011,0.72,0.16,,30.41,6.99,,4.01,170.51,,,,,,,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.79,,36.61,3.76,116.08,,82.33,4.07,,,,,,,"1,169.53","2,059.19",,,,,
,2012,0.74,0.14,,30.94,5.96,,3.95,164.7,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.99,,37.8,3.33,115.69,,82.42,3.62,,,,,,,"1,195.89","2,116.79",,,,,
,2013,0.74,0.13,,30.14,5.4,,3.93,161.17,,,,,,,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.32,,40.61,2.94,120.05,,85.76,3.21,,,,,,,"1,223.78","2,138.62",,,,,
,2014,0.72,0.12,,29.16,4.92,,4.1,165.23,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.58,,42.66,2.83,124.31,,88.43,3.06,,,,,,,"1,230.66","2,166.93",,,,,
,2015,0.72,0.1,,28.75,4.01,,4.12,163.9,,,,,,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.54,,46.34,2.58,132.65,,93.73,2.76,,,,,,,"1,236.59","2,211.12",,,,,
,2016,0.71,0.07,,27.74,2.91,,4.27,167.7,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.31,,49.11,2.09,139.25,,97.94,2.39,,,,,,,"1,237.22","2,305.25",,,,,
,2017,0.77,,,29.63,,,4.15,160.32,,,,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.72,,49.13,2.03,137.34,,96.86,2.25,,,,,,,"1,175.03","2,321.62",,,,,
,2018,0.74,,,28.22,,,3.84,146.17,,,,,,,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.11,,50.02,1.95,136.74,,95.73,2.2,,,,,,,"1,048.86","2,090.50",,,,,
Austria,2010,9.75,33.49,,11.29,38.77,,97.54,112.92,,,,,,,0.83,15.25,17.65,,,,,,,"1,364.27",,,,,"1,482.11",,,,,,,,,,,,,,,,,,,28.93,,,34.74,33.12,,,34.74,,,,,,,372.29,"1,136.27",,,,,
,2011,13.14,33.28,,15.13,38.31,,98.87,113.8,,,,,,,0.79,15.15,17.44,,,,,,,"1,334.03",,,,,"1,485.15",,,,,,,,,,,,,,,,,,,28.12,,,34.19,31.93,,,34.17,,,,,,,378.03,"1,157.47",,,,,
,2012,13.97,33.01,,15.97,37.75,,101.11,115.63,,,,,,,0.78,14.77,16.89,,,,,,,"1,279.81",,,,,"1,501.51",,,,,,,,,,,,,,,,,,,28.22,,,33.96,30.46,,,33.76,,,,,,,395.39,"1,185.71",,,,,
,2013,13.69,32.29,,15.54,36.65,,103.32,117.27,,,,,,,0.76,14.26,16.19,,,,,,,"1,303.93",,,,,"1,496.46",,,,,,,,,,,,,,,,,,,28.52,,,34.23,28.58,,,33.54,,,,,,,409.44,"1,218.99",,,,,
,2014,13.18,31.54,,14.83,35.49,,165.65,186.37,,,,,,,0.71,14.02,15.77,,,,,,,"1,274.25",,,,,"1,472.39",,,,,,,,,,,,,,,,,,,29.7,,,33.63,26.93,,,33.54,,,,,,,428.41,"1,229.69","57,542.38",679.56,,,
,2015,12.41,30.34,,13.8,33.74,,164.84,183.27,,,,,,,0.67,13.8,15.35,,,,,,,"1,247.23",,,,,"1,442.47",,,,,,,,,,,,,,,,,,,29.44,,,34.07,26.16,,,32.42,,,,,,,433.29,"1,231.26","58,789.54",661.06,,,
,2016,11.5,28.84,,12.66,31.74,,148.04,162.92,,,,,,,0.51,13.4,14.75,,,,,,,"1,222.31",,,,,"1,410.92",,,,,,,,,,,,,,,,,,,29.1,,,34.18,25.56,,,31.91,,,,,,,438.84,"1,340.57","59,483.07",654.85,,,
,2017,11.03,27.16,,12.06,29.7,,150.9,165.04,,,,,,,0.49,13.28,14.53,,,,,,,"1,114.63",,,,,"1,342.81",,,,,,,,,,,,,,,,,,,27.79,,,34.38,24.58,,,31.47,,,,,,,450.15,"1,298.06","62,871.22",652.87,,,
,2018,10.97,25.6,,11.94,27.89,,155.53,169.41,,,,,,,0.46,12.98,14.14,,,,,,,"1,166.64",,,,,"1,328.79",,,,,,,,,,,,,,,,,,,27.77,,,35.56,24.34,,,32.91,,,,,,,470.58,"1,324.47","66,798.72",600.57,,,
,2019,10.94,24.18,,11.88,26.24,,158.42,171.96,,,,,,,0.46,12.77,13.86,,,,,,,"1,141.09",,,,,"1,330.31",,,,,,,,,,,,,,,,,,,27.41,,,35.81,24.4,,,33.54,,,,,,,475.85,"1,332.46","71,414.85",729.98,,,
Azerbaijan,2010,8.34,,,9.86,,,22.89,27.08,,,,,,,0.4,,,360.86,,344.37,,,,454.27,,,,,,82.17,,76.25,,,,,,,,,,,,,,,,12.83,,7.13,,21.13,,6.36,,,,,,,,19.18,586.4,,,,,
,2011,8.59,,,10,,,25.79,30.03,,,,,,,0.39,,,401.75,,387.96,,,,574.28,,,,,,110.85,,108.59,,,,,,,,,,,,,,,,13.3,,7.91,,18.43,,6.36,,,,,,,,25.46,619.69,,,,,
,2012,8.44,,,9.69,,,27.34,31.39,,,,,,,0.39,,,465.09,,450.6,,,,819.45,,,,,,152.74,,149.5,,,,,,,,,,,,,,,,14.46,,9.34,,21.78,,7.89,,,,,,,,56.66,638.93,,,,,
,2013,8.99,,,10.2,,,29.3,33.24,,,,,,,0.38,,,542.1,,529.1,,,,"1,235.22",,,,,,237.37,,235.46,,,,,,,,,,,,,,,,15.84,,10.99,,25.76,,9.96,,,,,,,,129.35,649.21,,,,,
,2014,9.64,,,10.82,,,31.55,35.41,,,,,,,0.38,,,625.71,,612.28,,,,"1,898.81",,,,,,290.89,,287.81,,,,,,,,,,,,,,,,18.9,,12.18,,30.53,,12.25,,,,,,,,176.74,633.18,,,,,
,2015,9.59,,,10.66,,,32.59,36.2,,,,,,,0.36,,,,,,,,,"2,180.71",,,,,,,,,,,,,,,,,,,,,,,,31.45,,17.42,,38.92,,14.45,,,,,,,,135.68,624.79,,,,,
,2016,,,,,,,29.68,32.72,,,,,,,0.36,,,,,,,,,"2,021.48",,,,,,,,,,,,,,,,,,,,,,,,27.41,,12.33,,26.43,,9.07,,,,,,,,84.15,627.07,,,,,
,2017,,,,,,,29.41,32.16,,,,,,,0.29,,,,,,,,,"2,132.61",,,,,,,,,,,,,,,,,,,,,,,,26.53,,10.75,,16.12,,6.21,,,,,,351.6,0.14,82.42,684.83,543.11,16.34,,,
,2018,,,,,,,30.26,32.85,,,,,,,0.29,,,,,,,,,"2,357.00",,,,,,,,,,,,,,,,,,,,,,,,25.37,,10.46,,15.77,,6.4,,,,,,688.68,0.35,112.91,741.9,"1,272.73",35.46,,,
,2019,,,,,,,32.02,34.49,,,,,,,0.3,,,,,,,,,"2,512.51",,,,,,,,,,,,,,,,,,,,,,,,28.18,,10.58,,18.24,,8.25,,,,,,"2,494.39",0.92,103.86,842.88,"3,033.79",64.41,,,
The Bahamas,2010,10.09,,,38.92,,,18.38,70.9,,,,,,,68.59,,,,,,,,,"1,865.52",,,,,,,,,,,,,,,849.1,,,,,,,,,60.08,,33.48,,69.94,,,,,,,,,,558.01,,,,,,
,2011,10.09,,,38.17,,,21.68,82.02,,,,,,,48.38,,,,,,,,,"1,684.70",,,,,,,,,,,,,,,977.39,,,,,,,,,61.38,,34.43,,70.42,,,,,,,,,,483.83,,,,,,
,2012,10.19,,,37.83,,,21.68,80.48,,,,,,,51.55,,,,,,,,,"1,597.38",,,,,,,,,,,,,,,911.98,,,,,,,,,57.4,,29.9,,66.17,,,,,,,,,,447.95,,,,,,
,2013,10.09,,,36.77,,,30.97,112.87,,,,,,,50.97,,,,,,,,,"1,469.12",,,,,,,,,,,,,,,879.04,,,,,,,,,58.64,,29.92,,67.26,,,,,,,,,,454.01,,,,,,
,2014,10.09,,,36.12,,,33.37,119.45,,,,,,,51.14,,,,,,,,,"1,387.39",,,,,,,,,,,,,,,845.35,,,,,,,,,57.64,,28.85,,63.56,,,,,,,,,,569.51,,,,,,
,2015,9.09,,,31.99,,,34.47,121.29,,,,,,,52.38,,,,,,,,,"1,351.05",,,,,,,,,,,,,,,763.87,,,,,,,,,53.8,,26.5,2.69,58.86,,,,,,,,,,670.5,,,,,,
,2016,9.19,,,31.76,,,40.16,138.78,,,,,,,51.09,,,,,,,,,"1,352.74",,,,,,,,,,,,,,,856.79,,,,,,,,,56.59,,27.54,2.85,57.61,,,,,,,,,,809.09,,,,,,
,2017,8.19,,,27.85,,,36.16,122.95,,,,,,,49.59,,,,,,,,,"1,334.67",,,,,,,,,,,,,,,840.47,,,,,,,,,56.37,,27.16,2.98,54.29,,,,,,,,,,882.53,,,,,,
,2018,8.39,,,28.1,,,38.16,127.79,,,,,,,49.84,,,,,,,,,"1,360.34",,,,,,,,,,,,,,,785.16,,,,,,,,,55.08,,26.32,3.11,53.57,,,,,,,,,,957.89,,,,,,
,2019,7.39,,,24.38,,,38.46,126.85,,,,,,,52.72,,,,,,,,,"1,396.68",,,,,,,,,,,,,,,723.27,,,,,,,,,59.63,,27.84,3.21,52.48,,,,,,,,,,"1,005.69",,,,,,
Bangladesh,2010,59.06,,,7.66,,,16.29,2.11,,,,,,,0.06,98.89,12.82,334.17,7.18,270.06,,,86.42,486.04,5.31,371,,,86.42,87.66,13.42,61.19,,,86.42,,,,91.06,46.9,78.73,,,86.42,,,,46.89,1.52,22.34,0.46,39.1,6.76,8.01,0.24,,,,,,,,,,,138.13,"1,250,312.00",
,2011,61.89,,,7.87,,,29.17,3.71,2.49,19.6,5.52,43.44,,,0.06,99.58,12.66,477.37,10.79,306.67,,,88.01,542.9,10.74,330.39,,,88.01,89.22,20.86,68.92,,,88.01,,,,93.33,22.97,70.58,,,88.01,,,,49.89,4.7,20.9,0.44,41.44,10.43,6.95,0.18,,1.23,0.07,0,2.24,0.01,,,,,161.35,"1,304,317.00",31.95
,2012,64.75,,,8.07,,,32.4,4.04,19.95,159.96,24.9,199.65,,,0.06,99.55,12.41,547.78,10.61,325.73,,,88.32,576.68,11.83,342.85,,,88.32,87.59,26.03,69.92,,,88.32,,,,93.26,31.01,71.95,,,88.32,,,,51.22,4.29,22.11,0.4,41.5,9.85,5.61,0.17,,10.11,5.03,0.01,95.27,0.6,,,,,156.78,"1,382,198.00",18.94
,2013,67.45,,,8.25,,,40.51,4.96,123.89,"1,012.74",192.05,"1,569.94",,,0.06,100.01,12.23,526.99,37.57,439.92,,,89.09,617.11,23.89,465.56,,,89.09,81.31,26.05,64.02,,,89.09,,,,95.9,34.96,66.04,,,89.09,,,,51.89,4.78,26.17,0.35,38.78,9.85,5.25,0.16,,121.26,45.98,0.05,"2,151.84",4.31,,,,,153.85,"1,483,733.00",46.8
,2014,70.42,,,8.45,,,48.08,5.77,221.49,"1,845.38",502.12,"4,183.49",,,0.07,100.22,12.03,535.31,51.64,468.59,,,95.32,645.51,26.2,502.52,,,95.32,76.48,34.37,63.05,,,95.32,,,,89.16,32.14,64.25,,,95.32,,,,53.03,5.1,26.27,0.43,40.28,10.49,4.89,0.17,,223.21,87.58,0.05,"5,049.17",7.67,5.77,71.91,,,151.37,"1,636,623.00",57.65
,2015,73.09,,,8.61,,,60.22,7.09,219.93,"1,867.11",519.29,"4,408.49",3.44,0.41,0.07,100.52,11.84,653.32,34.13,558.77,511.57,214.56,93.79,699.37,37.68,607.89,559.53,243.61,93.79,83.71,25,65.4,80.79,18.24,93.79,,,,89.47,42.34,67.12,84.44,18.39,93.79,,,,52.67,6.44,28.88,0.42,40.53,10.44,5.26,0.17,,310.31,115.77,0.07,"11,213.22",11.26,5.61,78.03,,,136.05,"1,916,280.00",96.86
,2016,75.32,,,8.71,,,69.42,8.03,313.07,"2,706.91",631.9,"5,463.58",19.81,2.29,0.07,100.97,11.68,696.04,32.66,591.78,522.42,242.94,94.48,744.62,40.56,650.43,594.34,282.75,94.48,81.35,28.16,63.2,84.64,9.01,94.48,,,,89.76,34.94,64.65,87.59,8.71,94.48,,,,52.15,6.65,27.14,0.65,40.37,10.44,6.03,0.23,,364.7,140.37,0.1,"13,072.29",13.52,8.41,113.63,57.95,1.65,127.04,"2,094,997.00",93.13
,2017,77.68,,,8.82,,,73.6,8.36,420.66,"3,703.56",686.9,"6,047.62",31.94,3.63,0.07,100.78,11.45,730.84,24.84,620.85,842.37,392.49,93.64,788.9,33.17,695.84,951.7,433.86,93.64,83.1,31.28,66.49,117.97,13.91,93.64,,,,92.57,38.8,68.17,121.14,14.05,93.64,,,,50.22,5.96,26.31,0.62,42.69,10.69,5.54,0.26,,513.04,183.96,0.14,"16,365.76",15.93,8.97,130.11,66.43,1.87,118.15,"2,398,165.00",88.96
,2018,80.15,,,8.94,,,79.65,8.89,380.85,"3,413.00",757.79,"6,790.85",53.28,5.95,0.07,101.02,11.27,787.72,27.63,690.07,906.18,470.36,95.17,855.07,31.31,758.23,993.55,520.21,95.17,83.13,36.79,67.85,120.76,14.14,95.17,,,,91.76,43.29,69.84,124.18,14.56,95.17,,,,48.39,5.08,25.35,0.58,42.79,8.89,5.53,0.24,,582.25,321.51,0.12,"19,490.50",16.85,10.42,141.2,80.84,1.43,116.93,"2,633,221.00",60.62
,2019,82.05,,,9,,,85.62,9.39,367.97,"3,354.76",819.18,"7,468.34",86.97,9.54,0.07,101.04,11.08,848.87,29.72,753.38,"1,001.31",499.61,95.96,927.06,34.64,832.38,"1,097.70",561.53,95.96,82.95,36.69,67.18,119.42,14.38,95.96,,,,93.02,41.15,69.82,123.72,15.45,95.96,,,,48.32,5.9,24.23,0.56,41.86,8.96,5.06,0.22,,672.62,294.42,0.13,"21,827.90",17.1,12.06,165.22,123.74,2.59,116.03,"2,989,155.00",74.14
Barbados,2010,97.67,,,18.55,,,193.02,36.66,,,,,,,,13.95,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.96,,46.07,10.88,62.92,,30.35,12.5,,,,,,,420.85,,,,,,
,2011,104.65,,,19.75,,,172.09,32.47,,,,,,,,13.95,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.59,,45.4,11.4,62.09,,29.67,12.95,,,,,,,424.79,,,,,,
,2012,109.3,,,20.5,,,193.02,36.21,,,,,,,9.16,13.95,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.92,,48.1,11.53,86.1,,35.51,13.75,,,,,,,430.44,,,,,,
,2013,102.33,,,19.09,,,197.67,36.87,,,,,,,9.98,16.28,3.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.86,,49.56,12.37,78.83,,36.09,14.05,,,,,,,413.15,,,,371.69,"921,920.00",
,2014,111.63,,,20.7,,,230.23,42.7,,,,,,,9.49,16.28,3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.33,,49.97,13.2,76.5,,36.52,14.78,,,,,,,403.45,,,,779.67,"160,765.00",
,2015,86.05,,,15.87,,,197.67,36.46,,,,,,,9.01,18.6,3.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.77,,49.81,14.27,75.75,,37.01,15.72,,,,,,,387.31,,,,413.53,"173,335.00",
,2016,88.37,,,16.21,,,127.91,23.46,,,,,,,8.96,18.6,3.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.26,,48.55,15.53,73.53,,36.51,16.44,,,,,,,401.03,,,,815.87,"191,761.00",
,2017,93.02,,,16.97,,,144.19,26.3,,,,,,,9.76,18.6,3.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.64,,45.73,16.43,72.23,,36.46,16.94,,,,,,,542.68,,,,914.05,"184,560.00",
,2018,93.02,,,16.88,,,144.19,26.17,,,,,,,9.29,18.6,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.83,,43.57,17.88,60.41,,37.78,17.29,,,,,,,532.82,,,,776.74,"212,868.00",
,2019,86.05,,,15.54,,,160.47,28.98,,,,,,,9.24,16.28,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.06,,42.83,19.02,58.67,,36.6,17.44,,,,,,,547.81,,,,,,
Belarus,2010,,,,,,,15.1,37.92,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"242,571.85",,"134,659.44",,"525,188.08",,"133,768.93",,,,,,,,46.57,"1,098.20",,,24.21,"2,932,590.00",
,2011,,,,,,,16.35,41.23,,,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"308,653.43",,"160,207.34",,"492,093.68",,"106,129.64",,,,,,,,43.37,"1,182.52",,,30.81,"3,265,128.00",
,2012,,,,,,,18.24,46.17,,,,,,,0.31,,,,,,,,,,,332.13,302.35,357.08,,,,,,,,,,,,,,,,,,,,"251,278.69",,"143,011.65",,"379,746.84",,"74,895.99",,,,,,,,40.74,"1,260.43",,,38.83,"3,617,341.00",
,2013,,,,,,,20.15,51.18,,,,,23.02,58.48,0.31,,,,,,,,,,,354.37,315.77,386.7,,,,,,,,,,,,,,,,,,,,"257,461.68",,"152,587.23",,"386,753.13",,"80,471.39",,,,,,,,60.81,"1,417.04",,,45.14,"3,988,494.00",
,2014,,,,,,,21.49,54.77,,,,,23.32,59.44,0.3,,,,,,,,,,,357.74,317.26,391.65,,,,,,,,,,,,,,,,,,,,"265,308.41",,"166,709.12",,"389,664.28",,"78,104.61",,,,,,,,43.82,"1,505.97",,,,,
,2015,,0.08,,,0.2,,21.75,55.55,,,,,20.77,53.04,0.3,,,,,,,,0,,,336.53,296.64,369.94,0,,,,,,0.1,,,,,,,,,0.22,,,,"328,336.40",,"214,348.56",,"420,166.80",,"76,508.18",0,,,,,,,21.88,"1,531.67",,,,,
,2016,,0.06,,,0.15,,21.61,55.29,,,,,18.16,46.47,0.29,,,,,,,,0,,,292.77,262.83,317.85,0,,,,,,0.07,,,,,,,,,0.2,,,,31.54,,20.09,0,37.76,,7.54,0,,,,,,,24.75,"1,573.93",,,,,
,2017,,0.07,,,0.19,,21.7,55.67,,,,,17.85,45.8,,,,,,,,,0,,,261.23,230.59,286.89,0,,,,,,0.05,,,,,,,,,0.17,,,,32.9,,19.01,0,36.66,,8.54,0,,,,,,,39.84,"1,711.45","24,785.26",5.52,,,
,2018,,0.07,,,0.18,,20.93,53.89,,,,,17.13,44.11,,,,,,,,,0,,,246.52,159.95,319.05,0,,,,,,0.06,,,,,,,,,0.22,,,,30.65,,18.13,0,32.75,,9.48,0,,,,,,,54.8,"1,849.27","31,446.17",7.98,,,
,2019,,0.08,,,0.22,,21.15,54.67,,,,,15.8,40.85,,,,,,,,,0,,,241.3,166.39,304.09,0,,,,,,0.08,,,,,,,,,0.32,,,,32.06,,18.2,0,36.67,,10.65,0,,,,,,,43.45,"1,933.62","39,948.82",11.9,,,
Belgium,2010,134.74,,,45.05,,,274.44,91.76,,,,,124.54,41.64,1.6,,,,,,,,,"4,045.67",,"3,829.46",,,,570.27,91.25,548.1,,,,,,,953.04,93.19,911.35,,,,,,,92.43,,71.53,,76.58,20.7,45.57,,,,,,,,,,,,,,
,2011,131.74,,,43.5,,,282.63,93.32,,,,,121.93,40.26,1.55,,,,,,,,,"4,003.83",,"3,816.27",,,,696.41,91.38,674.04,,,,,,,"1,276.96",93.29,"1,235.12",,,,,,,91.41,,71.92,,77.52,21.33,46.72,,,,,,,,,"1,712.73",,,,,
,2012,129.59,,,42.53,,,287.09,94.23,,,,,120.21,39.46,1.44,,,,,,,,,"4,006.12",,"3,812.86",,,,711.19,87.8,675.99,,,,,,,"1,318.45",92.01,"1,239.78",,,,,,,95.67,,75.39,,77.74,21.99,47.45,,,,,,,,,"1,755.63",,,,,
,2013,126.88,,,41.46,,,287.55,93.95,,,,,112.29,36.69,1.39,,,,,,,,,"4,031.88",,"3,867.75",,,,709.61,87.85,674.58,,,,,,,"1,314.52",90.54,"1,237.22",,,,,,,99.43,,78.22,,77.56,21.54,47.6,,,,,,,,,"1,692.43",,,,,
,2014,122.56,,,39.88,,,279.46,90.93,,,,,105.78,34.42,1.36,,,,,,,,,"3,930.21",,"3,765.14",,,,703.34,87.84,669.08,,,,,,,"1,292.00",90.52,"1,217.00",,,,,,,98.9,,78.64,,75.17,21.24,47.56,,,,,,,,225.88,"1,743.31",,,,,
,2015,119.12,,,38.55,,,278.17,90.02,,,,,99.7,32.26,1.26,,,,,,,,,"3,931.02",,"3,765.92",,,,699.72,88.05,665.92,,,,,,,"1,277.04",91.51,"1,202.16",,,,,,,99.17,,78.27,,75.74,19.65,48.03,,,,,,,,249.29,"1,819.14","61,099.50",,,,
,2016,113.51,,,36.55,,,274.34,88.34,,,,,93.63,30.15,1.25,,,,,,,,,"3,915.91",,"2,732.58",,,,699.2,87.74,665.35,,,,,,,"1,281.77",89.62,"1,208.00",,,,,,,101.02,,79.69,,77.95,19.78,48.81,,,,,,,,242.05,"1,797.37","64,974.56",,,,
